;DATE;COFFEE_USD;COFFEE_BRL;COFFEE_CLP;COFFEE_EUR
0;2019-01-31;106.35;387.57;70474.96;92.91
1;2019-02-28;95.55;358.41;62661.19;84.01
2;2019-03-29;95.65;375.24;65090.2;85.16
3;2019-04-30;93.85;367.74;63601.92;83.68
4;2019-05-31;105.3;413.31;74729.35;94.03
5;2019-06-28;109.0;419.76;73847.93;95.7
6;2019-07-31;100.45;383.04;70677.12;90.73
7;2019-08-30;93.3;386.77;67295.89;84.74
8;2019-09-30;102.45;425.81;74647.09;94.0
9;2019-10-31;102.25;410.79;76084.64;91.65
10;2019-11-29;118.0;500.35;101232.66;107.09
11;2019-12-31;134.65;541.29;99560.63;120.01
12;2020-01-31;103.25;442.17;82631.38;93.06
13;2020-02-28;109.95;491.81;89928.54;99.71
14;2020-03-31;120.4;626.68;103146.33;109.19
15;2020-04-30;104.1;571.25;86933.67;95.11
16;2020-05-29;100.05;533.76;79939.99;90.09
17;2020-06-30;100.35;548.23;82568.25;89.32
18;2020-07-31;119.4;623.58;90350.45;101.37
19;2020-08-31;130.8;718.41;101545.42;109.56
20;2020-09-30;112.75;632.52;88519.71;96.16
21;2020-10-30;105.8;607.6;81815.55;90.62
22;2020-11-30;121.4;647.38;92494.48;101.69
23;2020-12-31;129.0;669.97;91654.82;105.92
24;2021-01-29;124.7;681.14;91630.05;102.74
25;2021-02-26;139.0;778.29;100622.64;115.14
26;2021-03-31;124.75;702.69;89881.29;106.38
27;2021-04-30;143.9;782.58;102270.29;119.72
28;2021-05-28;163.15;852.68;118202.81;133.81
29;2021-06-30;159.0;790.34;116435.92;134.12
30;2021-07-30;201.75;1050.89;152654.22;170.0
31;2021-08-31;193.2;995.1;149894.21;163.6
32;2021-09-30;196.45;1069.32;159287.61;169.73
33;2021-10-29;204.4;1151.96;166280.2;176.8
34;2021-11-30;233.25;1311.89;192986.35;205.84
35;2021-12-31;228.8;1274.71;194937.68;201.21
36;2022-01-31;237.7;1260.9;190333.51;211.67
37;2022-02-28;239.5;1235.8;191407.65;213.54
38;2022-03-31;227.65;1078.9;179110.49;205.61
39;2022-04-29;224.4;1115.89;191303.33;212.81
40;2022-05-31;233.8;1106.32;192700.35;217.82
41;2022-06-30;231.65;1216.97;212365.24;221.1
42;2022-07-29;220.4;1140.09;198906.68;215.54
43;2022-08-31;240.75;1247.88;215952.8;239.82
